date,PPO,A2C,DDPG
2016-02-23,0.9995843067773594,0.9944978798700621,0.9855832535898299
2016-02-24,0.9996188082260262,0.9951896699484796,0.9861984477092539
2016-02-25,0.9998281363620849,0.9998341652427867,0.992647391887679
2016-02-26,0.999763285371134,0.9986784543534972,0.9929635653674652
2016-02-29,0.9995853162760318,0.9955230458356614,0.9883811365929788
2016-03-01,1.0003369192364906,1.004049796818566,1.001542527283074
2016-03-02,1.0002866938356998,1.006305978330283,0.9998924618255968
2016-03-03,1.000416870591453,1.006952313883485,1.005721425164242
2016-03-04,1.0006472417565389,1.0099780140001071,1.0087417014087658
2016-03-07,1.0011329476293949,1.0087931969786497,1.009461304625238
2016-03-08,1.0010820647623448,1.007972049398645,1.008451866866323
2016-03-09,1.0010913603062748,1.0078622308271328,1.00810313782586
2016-03-10,1.0010422788740876,1.007526228498604,1.0081993796091293
2016-03-11,1.0012712412264173,1.009530384894444,1.013371118969381
2016-03-14,1.0012627795737397,1.0092488580440944,1.014236893768961
2016-03-15,1.0012726956822744,1.0096272956917516,1.0132494854925576
2016-03-16,1.0014363959963082,1.0108478442093796,1.0157240058379264
2016-03-17,1.0018846294082024,1.0155001968561048,1.0249595734040697
2016-03-18,1.0019943986882374,1.0179486563967217,1.0338316305341038
2016-03-21,1.0020119154115175,1.0191091135984411,1.0355228395983218
2016-03-22,1.0017772159515317,1.0169441988439019,1.0314098624265553
2016-03-23,1.001439827957725,1.0185264970841055,1.0256618792930228
2016-03-24,1.0016269672402942,1.0197221331385966,1.0242773047399905
2016-03-28,1.001894955837295,1.0228425498091254,1.0249841867131304
2016-03-29,1.0019835683881204,1.027878715646624,1.032292658686713
2016-03-30,1.002324751179408,1.0347598903346176,1.0348122755532243
2016-03-31,1.0022585905952357,1.0328691309317846,1.030604445151941
2016-04-04,1.0022585905952357,1.0328691309317846,1.030604445151941
2016-04-05,1.0021652270061683,1.0318123279566884,1.0287255033413478
2016-04-06,1.0021765060665748,1.0322708538395715,1.0310232908516714
2016-04-07,1.0019431069247373,1.0301066858626688,1.0258029265626312
2016-04-08,1.002033977156911,1.0313496977167245,1.0257786269563667
2016-04-11,1.0020437308881496,1.0308218399631843,1.025765666477061
2016-04-12,1.0022343271807133,1.0354345534998861,1.0334649601755348
2016-04-13,1.0026901080192296,1.039100857576684,1.0476831809115723
2016-04-14,1.002688120315087,1.0401542895844695,1.048292284368798
2016-04-15,1.002674363938907,1.0401340037976605,1.045560196682256
2016-04-18,1.0027714509149515,1.044338940354417,1.05401636610781
2016-04-19,1.0022951810837923,1.0485073265582547,1.061255442384963
2016-04-20,1.0022473604921587,1.0474588340665782,1.060194196348754
2016-04-21,1.0022473604921587,1.0474588340665782,1.060194196348754
2016-04-22,1.0022473604921587,1.0474588340665782,1.060194196348754
2016-04-25,1.0022473604921587,1.0474588340665782,1.060194196348754
2016-04-26,1.00224540950685,1.047320065410534,1.0605709713557139
2016-04-27,1.0022537925609605,1.0479488452768366,1.061898133912731
2016-04-28,1.0022458654018493,1.0477733110468723,1.0616633007892424
2016-04-29,1.0022312814932266,1.047486518376891,1.0613989989190311
2016-05-02,1.0022634737269167,1.0483673677648273,1.0628159086332996
2016-05-03,1.0021604511276287,1.045996626919527,1.0591878362241705
2016-05-04,1.0020497722366184,1.0433761616646127,1.0550339225514238
