date,PPO_with_turbulence,PPO_no_turbulence
2016-04-06,1.0018663460217114,1.0269715077614558
2016-04-07,1.0014380442893882,1.026532473475528
2016-04-08,1.0015902640925003,1.026688507662457
2016-04-11,1.001472944723292,1.0265682484582588
2016-04-12,1.0019965841356326,1.0271050094333631
2016-04-13,1.0030098575431805,1.0281436738452943
2016-04-14,1.0029103030031004,1.0280416246283137
2016-04-15,1.003098794145577,1.028234839056124
2016-04-18,1.0035473821162795,1.0286946679209874
2016-04-19,1.0030356006464929,1.028170062029435
2016-04-20,1.0029054668741615,1.0283765016382997
2016-04-21,1.0029054668741615,1.026229331920962
2016-04-22,1.0029054668741615,1.0268332916973615
2016-04-25,1.0029054668741615,1.0263093157802534
2016-04-26,1.0029057243658726,1.0264896320076458
2016-04-27,1.0029784501946637,1.0272485706145789
2016-04-28,1.0029569034195722,1.0252402011340676
2016-04-29,1.0029205143537192,1.0247020091352086
2016-05-02,1.0030142610605908,1.0258146782766884
2016-05-03,1.0027810973913922,1.0241314121942218
2016-05-04,1.0024977737045433,1.0225132025273076
2016-05-05,1.0025615411901738,1.022868070427192
2016-05-06,1.0027906719584239,1.0238810154141083
2016-05-09,1.0024825622556508,1.022737450584829
2016-05-10,1.0036409608128884,1.0267707401193478
2016-05-11,1.0028252011653398,1.024192409009269
2016-05-12,1.0028413749757479,1.0242611797555923
2016-05-13,1.0019067599951863,1.0216671722845776
2016-05-16,1.0025793736480053,1.0234654094657387
2016-05-17,1.0011641827421107,1.019910450419007
2016-05-18,1.0010835699804737,1.0197302684360305
2016-05-19,0.9994643415882645,1.0159816625966214
2016-05-20,0.9993086524676954,1.0188751853276392
2016-05-23,0.9992849590872946,1.0183761316381332
2016-05-24,0.9995621411813217,1.0238199000777415
2016-05-25,0.9998332557888999,1.027466727508146
2016-05-26,0.9998125267617562,1.027355388903304
2016-05-27,0.9999423338191118,1.0284965165249993
2016-05-31,0.999933878103498,1.028501330180506
2016-06-01,0.9999151090689955,1.0284407893433507
2016-06-02,1.0002754363749506,1.0304741089156482
2016-06-03,1.0002711474064463,1.0304954918344797
2016-06-06,1.0008181247630705,1.0330571601778715
2016-06-07,1.0009538112353875,1.0336740600118635
2016-06-08,1.0016624637284681,1.0365515327713053
2016-06-09,1.00128396957581,1.0351490383259334
2016-06-10,1.0003085814580521,1.0316774577394712
2016-06-13,0.999028439788687,1.027329195136183
2016-06-14,0.9981910986280487,1.0246172901512969
2016-06-15,0.9978391975470206,1.0235363944662283
2016-06-16,0.9988858743397868,1.0267166947693125
