date,turbulence_value,threshold,excess
2017-11-14,52.62753025286689,40.30818639069104,12.319343862175849
2017-11-16,177.05017974744246,40.30818639069104,136.7419933567514
2017-11-29,43.12682816469721,40.30818639069104,2.818641774006167
2017-12-04,68.29875822579776,40.30818639069104,27.990571835106714
2018-01-02,54.886481906493614,40.30818639069104,14.578295515802573
2018-01-16,50.73783400391187,40.30818639069104,10.42964761322083
2018-01-17,67.69828033760535,40.30818639069104,27.390093946914313
2018-01-19,59.32315171548343,40.30818639069104,19.014965324792385
2018-01-23,131.20648146713515,40.30818639069104,90.8982950764441
2018-01-26,118.86810728114837,40.30818639069104,78.55992089045733
2018-01-31,61.11424036767138,40.30818639069104,20.806053976980337
2018-02-01,64.17175005546243,40.30818639069104,23.863563664771384
2018-02-02,41.5131911665799,40.30818639069104,1.2050047758888596
2018-02-05,55.633573803607106,40.30818639069104,15.325387412916065
2018-02-06,55.675790267588845,40.30818639069104,15.367603876897803
2018-02-08,49.30467926871677,40.30818639069104,8.996492878025727
2018-02-09,58.88157122161958,40.30818639069104,18.57338483092854
2018-02-20,123.69793045520233,40.30818639069104,83.38974406451129
2018-03-02,55.978125025535626,40.30818639069104,15.669938634844584
2018-03-26,58.2367826543342,40.30818639069104,17.928596263643158
2018-03-27,57.37645806520916,40.30818639069104,17.068271674518115
2018-03-28,40.973290318271395,40.30818639069104,0.6651039275803541
2018-03-29,40.90620582145635,40.30818639069104,0.5980194307653122
2018-04-02,56.04068298289469,40.30818639069104,15.732496592203645
2018-04-18,101.95246864299985,40.30818639069104,61.644282252308805
